borough,buildingClassCategory,address,zipcode,residentialUnits,landSqft,yearBuilt,salePrice,employed,unemployed,incomeAbove100k,incomeBelow100k
Queens County,02 TWO FAMILY DWELLINGS,221-21 HORACE HARDING EXPRESSWAY,11364,2,"3,000",1970,1230000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,537 BEACH 128 STREET,11694,1,"3,000",1935,649000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,182 BEACH 130TH STREET,11694,1,"3,000",1970,675000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,426 BEACH 135TH STREET,11694,1,"3,000",1920,775000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,258 BEACH 141ST STREET,11694,1,"3,000",1930,730000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,187 BEACH 138TH STREET,11694,1,"3,000",1930,885000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,150 BEACH 140TH STREET,11694,1,"3,000",1935,835000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,185 BEACH 140 STREET,11694,1,"3,000",1940,816000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,424 BEACH 129TH STREET,11694,2,"3,000",1920,1770000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,161 BEACH 124TH STREET,11694,3,"3,000",1985,1090000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-42 238TH STREET,11426,1,"3,000",1935,400000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-05 239TH STREET,11426,1,"3,000",1920,525000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-12 241ST STREET,11426,1,"3,000",1925,647100,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-30 241ST STREET,11426,1,"3,000",1925,637500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-36 241ST STREET,11426,1,"3,000",1925,277345,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-50 242ND STREET,11426,1,"3,000",1925,727000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,8927 GETTYSBURG STREET,11426,1,"3,000",1930,510000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-11 GETTYSBURG STREET,11426,1,"3,000",1930,650000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-23 239TH STREET,11426,1,"3,000",1930,700000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-09 241ST STREET,11426,1,"3,000",1935,638000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,23716 EDMORE AVENUE,11426,1,"3,000",1920,633450,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,92-24 241 STREET,11426,1,"3,000",1920,678000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,87-28 254TH STREET,11426,1,"3,000",1930,650000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,87-63 254TH STREET,11426,1,"3,000",1920,560000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,88-28 237TH STREET,11426,2,"3,000",1935,640000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,89-05 GETTYSBURG STREET,11426,2,"3,000",1930,600000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,89-05 237TH STREET,11426,2,"3,000",1925,650000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,89-42 238TH STREET,11426,2,"3,000",1925,592000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,89-35 240TH STREET,11426,2,"3,000",1930,660000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,89-16 241ST STREET,11426,2,"3,000",1930,754000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,17 WEST 20TH ROAD,11693,2,"3,000",2004,576300,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,19 WEST 20TH ROAD,11693,2,"3,000",2004,576300,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,116-12 223 STREET,11411,2,"3,000",1935,740000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,35-11 105TH STREET,11368,2,"3,000",1925,1300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,96-07 24TH AVENUE,11369,1,"3,000",1925,200000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,2530 95TH STREET,11369,1,"3,000",1925,840000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,23-20 94TH STREET,11369,2,"3,000",2019,1272813,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,32-11 95TH STREET,11369,2,"3,000",1915,1025824,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,27-36 MCINTOSH STREET,11369,2,"3,000",1925,1065000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,9611 24TH AVENUE,11369,3,"3,000",1925,930000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,32-40 101ST STREET,11369,3,"3,000",1910,1060000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,32-27 105 STREET,11369,3,"3,000",1910,305000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,40-39 73RD STREET,11377,2,"3,000",1920,1700000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,40-35 73RD STREET,11377,2,"3,000",1920,1700000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,53-18 82ND STREET,11373,2,"3,000",1930,1060000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,31-21 DWIGHT AVENUE,11691,2,"3,000",1965,615000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,85-50 257TH STREET,11001,1,"3,000",1930,529000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,85-26 263RD STREET,11001,1,"3,000",1945,550000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,45-32 157 STREET,11355,1,"3,000",1935,1025000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,44-12 189TH STREET,11358,1,"3,000",1925,795000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,189-12 45TH AVENUE,11358,1,"3,000",1920,855000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,171-33 BAGLEY AVENUE,11358,1,"3,000",1920,900000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,132-40 57TH ROAD,11355,1,"3,000",1960,895000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,161-12 59TH AVENUE,11365,1,"3,000",1930,959000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,59-40 162 STREET,11365,1,"3,000",1930,885000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,144-20 26TH AVENUE,11354,2,"3,000",1965,1488000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,56-24 135TH STREET,11355,2,"3,000",1920,970000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,43-68 149TH STREET,11355,2,"3,000",1920,990000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,43-50 160TH STREET,11358,2,"3,000",1930,1180000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,43-15 161ST STREET,11358,2,"3,000",1960,1300000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,45-16 161ST STREET,11358,2,"3,000",1910,899000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,46-12 162ND STREET,11358,2,"3,000",2018,1680113,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,46-16 162ND STREET,11358,2,"3,000",2018,1680113,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,44-10 UTOPIA PARKWAY,11358,2,"3,000",1925,898000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,189-23 45TH DRIVE,11358,2,"3,000",1960,1280000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,189-22 45TH AVENUE,11358,2,"3,000",1920,1070000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,136-37 58TH ROAD,11355,2,"3,000",1925,1135000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,3332 FARRINGTON ST,11354,3,"3,000",1901,1270000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,40-09 190TH STREET,11358,3,"3,000",1984,1470000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,57-16 163RD STREET,11365,3,"3,000",2019,1750000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,175-13 JEWEL AVENUE,11365,1,"3,000",1950,425000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,164-14 65TH AVENUE,11365,2,"3,000",1930,990000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,61-42 166TH STREET,11365,3,"3,000",1970,675000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,70-43 NANSEN STREET,11375,1,"3,000",1930,1060000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,7029 NANSEN ST,11375,1,"3,000",1930,1189000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,73-34 197TH STREET,11366,2,"3,000",1955,958000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,73-46 197TH STREET,11366,2,"3,000",1955,950000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,72-11 66TH PLACE,11385,2,"3,000",1899,920000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,8864 75TH AVENUE,11385,2,"3,000",1920,1170000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,79-45 78TH AVENUE,11385,3,"3,000",1910,910000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-50 FRANCIS LEWIS BOULEVARD,11427,1,"3,000",1935,880000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,100-30 194TH STREET,11423,1,"3,000",1920,635000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,109-17 205TH STREET,11412,1,"3,000",1930,380000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,104-18 210TH STREET,11429,1,"3,000",1920,484500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,109-11 208TH STREET,11429,1,"3,000",1920,674640,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,109-06 210TH ST,11429,1,"3,000",1920,645000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,104-30 203RD STREET,11412,2,"3,000",1925,585000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,207-07 HILLSIDE AVE,11427,2,"3,000",1950,625000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,85-15 165TH AVENUE,11414,1,"3,000",1980,995000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,158-36 96TH STREET,11414,1,"3,000",1960,735000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,15928 98TH STREET,11414,1,"3,000",1925,700000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,164-33 98TH STREET,11414,1,"3,000",1955,665000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,12 102ND STREET,11414,1,"3,000",1925,120000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,156-28 101ST STREET,11414,2,"3,000",1930,710000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,97-10 159TH AVENUE,11414,2,"3,000",1960,890500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,34-11 91ST STREET,11372,1,"3,000",1925,1125000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,144-36 87TH ROAD,11435,2,"3,000",1930,1050000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,187-08 WEXFORD TERRACE,11432,1,"3,000",1925,760000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,137-15 220TH PLACE,11413,2,"3,000",1950,800000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,248-07 41 AVE,11363,2,"3,000",1989,1125000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,82-33 61ST ROAD,11379,1,"3,000",1950,250000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,71-38 66TH DRIVE,11379,2,"3,000",1930,517500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,67-10 214TH STREET,11364,1,"3,000",1955,820000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,94-15 SUTTER AVENUE,11417,1,"3,000",1930,605000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,105-50 88TH STREET,11417,2,"3,000",1925,1032125,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-22 GETTYSBURG STREET,11426,1,"3,000",1930,575000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-08 LYMAN STREET,11427,1,"3,000",1930,620000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-26 LYMAN STREET,11427,1,"3,000",1930,615000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,92-31 217TH STREET,11428,1,"3,000",1930,670000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-49 214 STREET,11427,1,"3,000",1930,485000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-19 216TH STREET,11427,1,"3,000",1930,478000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-19 216TH STREET,11427,1,"3,000",1930,690000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-89 218 STREET,11427,1,"3,000",1930,599000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,89-88 218TH PLACE,11427,1,"3,000",1930,665000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,88-41 212TH PLACE,11427,1,"3,000",1920,450000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,92-40 218TH PLACE,11428,1,"3,000",1920,570000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,91-16 219 STREET,11428,1,"3,000",1925,300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,222-28 EDMORE AVENUE,11428,1,"3,000",1930,643750,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,92-73 224TH STREET,11428,1,"3,000",1925,475000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,106-14 217TH STREET,11429,1,"3,000",1930,400000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,109-12 215TH STREET,11429,1,"3,000",1920,565000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,209-21 111TH AVENUE,11429,1,"3,000",1930,426000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,209-50 111TH AVENUE,11429,1,"3,000",1925,585000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,209-50 111 AVE,11429,1,"3,000",1925,300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,209-45 111TH ROAD,11429,1,"3,000",1925,342000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,110-11 212 STREET,11429,1,"3,000",1920,585000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,110-48 213 STREET,11429,1,"3,000",1920,500000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,216-06 110TH AVENUE,11429,1,"3,000",1930,410000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,216-14 110 AVE,11429,1,"3,000",1930,545000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,213-27 112TH AVENUE,11429,1,"3,000",1925,602500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,214-21 113TH AVENUE,11429,1,"3,000",1930,540000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,214-07 113TH AVENUE,11429,1,"3,000",1930,620000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,214-12 112TH ROAD,11429,1,"3,000",1930,425000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,216-04 111TH AVENUE,11429,1,"3,000",1930,640000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,216-20 111 AVE,11429,1,"3,000",1930,600000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,104-05 221 STREET,11429,1,"3,000",1930,530000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,106-08 227TH STREET,11429,1,"3,000",1925,300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,106-07 227TH STREET,11429,1,"3,000",1925,640000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,219-19 113TH DRIVE,11429,1,"3,000",1940,456300,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,219-17 114 AVENUE,11411,1,"3,000",1925,580000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,221-25 114TH ROAD,11411,1,"3,000",1925,565000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,91-11 217TH STREET,11428,2,"3,000",1925,605000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,212-24 MURDOCK AVENUE,11429,2,"3,000",1930,790000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,214-36 112TH ROAD,11429,2,"3,000",1930,615000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,215-34 111TH ROAD,11429,2,"3,000",1930,780000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,215-07 111TH ROAD,11429,2,"3,000",1930,630000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,215-11 111TH ROAD,11429,2,"3,000",1930,770000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,91-12 109TH ST,11418,1,"3,000",1920,750000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,103-16 125TH STREET,11419,1,"3,000",1920,690000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,104-48 125TH STREET,11419,2,"3,000",1920,900000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,107-39 125TH STREET,11419,1,"3,000",1925,449000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,102-22 90TH AVENUE,11418,2,"3,000",1920,835000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,101-53 105TH STREET,11416,2,"3,000",1950,450000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,101-49 105TH STREET,11416,2,"3,000",1950,420000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,103-60 104TH STREET,11417,2,"3,000",1939,954000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,104-32 122ND STREET,11419,2,"3,000",1920,850000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,9718 125 STREET,11419,3,"3,000",2005,1350000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,1627 GEORGE STREET,11385,2,"3,000",1920,600000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,183 BEACH 112 STREET,11694,2,"3,000",1930,500000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,226 BEACH 122 STREET,11694,2,"3,000",1975,772500,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,176 BEACH 124TH STREET,11694,2,"3,000",1960,750000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,133-64 244TH STREET,11422,1,"3,000",1910,443300,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,144-47 230TH STREET,11413,1,"3,000",1930,483000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,143-68 229 STREET,11413,1,"3,000",1940,450000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,241-26 NEWHALL AVENUE,11422,1,"3,000",1920,600000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,241-01 MAYDA ROAD,11422,1,"3,000",1920,550000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,241-08 144TH AVENUE,11422,1,"3,000",1925,545000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,240-15 CANEY ROAD,11422,1,"3,000",1925,789000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,241-09 WELLER AVENUE,11422,1,"3,000",1930,530000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,241-14 143RD AVENUE,11422,1,"3,000",1920,493000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,240-20 142ND AVENUE,11422,1,"3,000",1920,520000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,24511 NEWHALL AVENUE,11422,1,"3,000",1920,557000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,144-11 253RD STREET,11422,1,"3,000",1965,501500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,144-35 WELLER LANE,11422,1,"3,000",1970,530000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,230-07 146TH AVENUE,11413,2,"3,000",1925,660000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,224-15 144TH AVENUE,11413,2,"3,000",1920,700000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,143-58 230TH STREET,11413,2,"3,000",2007,810000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,240-27 NEWHALL AVENUE,11422,2,"3,000",1925,860000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,240-21 WELLER AVENUE,11422,2,"3,000",1930,675000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,149-44 256TH STREET,11422,2,"3,000",1970,725000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,149-28 257TH STREET,11422,2,"3,000",1960,661000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,235-09 BENTLEY ROAD,11422,2,"3,000",2003,431345,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,241-18 NEWHALL AVE,11422,3,"3,000",1925,879000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,243-38 145TH AVENUE,11422,3,"3,000",1925,600000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,115-12 141ST STREET,11436,1,"3,000",1955,515000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,126-42 147TH STREET,11436,1,"3,000",1925,505000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,148-12 130TH AVENUE,11436,1,"3,000",1930,325000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,167-05 115 AVENUE,11434,1,"3,000",1925,545000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,116-17 166TH STREET,11434,1,"3,000",1925,647000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,168-12 116TH AVENUE,11434,1,"3,000",1925,375000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,117-41 164TH STREET,11434,1,"3,000",1930,294000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,11832 MARSDEN STREET,11434,1,"3,000",1920,775000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,170-43 118TH RD,11434,1,"3,000",1925,150000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,17035 118TH ROAD,11434,1,"3,000",1925,500000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,114-47 VAN WYCK EXPRESSWAY,11436,2,"3,000",2003,540000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,147-08 116TH AVENUE,11436,2,"3,000",1925,620000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,14315 119TH AVE,11436,2,"3,000",1930,500000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,117-12 147TH STREET,11436,2,"3,000",1995,750000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,117-07 LONG STREET,11434,2,"3,000",1925,630000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,115-24 168TH STREET,11434,2,"3,000",1930,508800,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,115-34 168TH STREET,11434,2,"3,000",1930,767350,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,116-16 167TH STREET,11434,2,"3,000",1925,595195,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,169-12 116TH AVENUE,11434,2,"3,000",1920,575000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,172-08 119TH AVENUE,11434,2,"3,000",1920,309000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,164-18 109TH ROAD,11433,1,"3,000",1920,585000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,110-42 168TH STREET,11433,1,"3,000",1935,510000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,108-01 FERN PL,11433,1,"3,000",1955,430000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,173-12 109 AVENUE,11433,1,"3,000",1920,350000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,163-40 PHROANE AVENUE,11433,2,"3,000",1995,810000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,10824 INWOOD STREET,11435,2,"3,000",1930,660000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,108-55 LIVERPOOL STREET,11435,2,"3,000",1925,800000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,147-20 GLASSBORO AVENUE,11435,2,"3,000",1940,575000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,111-67 147 STREET,11435,2,"3,000",1930,530000,1099996,39401,166650,1015040
